Product Name,Brand,Category,Region,Store ID,Date,Quantity,Value
Nike Cap,Nike,Accessories,Central,92,2025-03-24,1,519.39
UA HeatGear Tee,Under Armour,Apparel,Central,84,2024-06-25,9,2038.13
Adidas Gym Ball,Adidas,Equipment,East,44,2025-02-19,20,6404.03
Nike Pro Shorts,Nike,Apparel,Central,88,2024-11-02,15,5606.14
Adidas Ultraboost,Adidas,Footwear,West,64,2024-09-10,2,96.06
Nike Socks Pack,Nike,Accessories,West,64,2024-09-15,18,2746.97
Reebok CrossFit Tee,Reebok,Apparel,West,75,2023-10-05,18,6153.0
Reebok Yoga Mat,Reebok,Equipment,Central,85,2025-05-08,16,6954.74
Reebok CrossFit Tee,Reebok,Apparel,East,42,2025-04-15,15,2423.64
Reebok CrossFit Tee,Reebok,Apparel,East,44,2024-04-28,12,3882.54
Adidas Headband,Adidas,Accessories,West,69,2023-05-05,15,7271.09
Nike Pegasus,Nike,Footwear,South,40,2023-07-07,11,487.05
Adidas Water Bottle,Adidas,Accessories,South,39,2024-05-13,18,1095.71
Adidas Gym Ball,Adidas,Equipment,Central,87,2024-02-29,5,1021.82
Adidas Ultraboost,Adidas,Footwear,East,45,2023-01-06,6,1675.82
Nike Air Max,Nike,Footwear,North,5,2023-08-14,8,1535.65
Puma Suede Classic,Puma,Footwear,North,6,2024-10-25,14,726.94
UA Rival Fleece Hoodie,Under Armour,Apparel,North,3,2025-12-13,12,3668.68
UA Charged Assert,Under Armour,Footwear,Central,84,2025-11-17,20,6807.91
UA HeatGear Tee,Under Armour,Apparel,Central,90,2023-03-30,1,328.8
UA HOVR Phantom,Under Armour,Footwear,West,73,2023-05-05,16,5589.23
Puma Resistance Band Set,Puma,Equipment,North,3,2025-06-27,3,1216.73
Puma Resistance Band Set,Puma,Equipment,East,60,2023-09-16,20,4056.68
UA Duffel Bag,Under Armour,Equipment,East,55,2025-12-22,4,1615.15
UA HOVR Phantom,Under Armour,Footwear,Central,87,2023-08-23,8,1893.97
Reebok Wristband,Reebok,Accessories,East,55,2025-04-27,4,1142.31
Puma Suede Classic,Puma,Footwear,West,71,2024-10-02,5,1148.07
Nike Cap,Nike,Accessories,North,3,2025-08-29,4,336.7
Nike Dri-FIT Tee,Nike,Apparel,South,38,2025-02-02,18,7055.18
Reebok Nano X,Reebok,Footwear,North,14,2024-11-06,14,7073.24
Puma Beanie,Puma,Accessories,East,60,2023-04-16,19,3587.01
UA Rival Fleece Hoodie,Under Armour,Apparel,South,25,2025-11-05,4,663.72
Nike Training Bag,Nike,Equipment,Central,92,2024-12-18,19,8435.21
Nike Pegasus,Nike,Footwear,West,78,2024-04-08,9,3232.49
Puma Beanie,Puma,Accessories,South,29,2023-03-01,12,5548.06
Reebok Wristband,Reebok,Accessories,South,25,2023-01-13,1,53.4
Reebok Joggers,Reebok,Apparel,Central,87,2023-07-07,11,2436.72
Puma Resistance Band Set,Puma,Equipment,East,50,2023-11-19,19,7464.74
Adidas Tiro Pants,Adidas,Apparel,North,5,2023-06-23,2,764.26
UA HOVR Phantom,Under Armour,Footwear,East,55,2023-06-17,15,3796.76
UA Duffel Bag,Under Armour,Equipment,East,47,2025-04-28,14,1358.31
UA Sport Mask,Under Armour,Accessories,East,59,2023-08-16,10,2729.28
Nike Dri-FIT Tee,Nike,Apparel,South,33,2023-04-04,10,236.9
Puma Logo Tee,Puma,Apparel,South,29,2024-03-08,1,204.12
Adidas Ultraboost,Adidas,Footwear,West,66,2025-10-15,8,2106.0
Nike Pro Shorts,Nike,Apparel,Central,92,2025-10-21,2,547.54
Nike Pro Shorts,Nike,Apparel,North,15,2025-06-12,19,10715.18
Reebok Yoga Mat,Reebok,Equipment,Central,93,2025-05-29,13,2686.55
UA HeatGear Tee,Under Armour,Apparel,East,46,2023-02-12,12,5032.47
Puma RS-X,Puma,Footwear,West,64,2023-06-30,13,2978.62
Puma Beanie,Puma,Accessories,North,13,2025-12-09,8,3931.06
UA Duffel Bag,Under Armour,Equipment,South,23,2024-11-13,17,6333.18
Reebok Nano X,Reebok,Footwear,South,32,2025-11-10,5,2399.42
Puma Suede Classic,Puma,Footwear,North,5,2024-04-28,20,2637.88
UA Sport Mask,Under Armour,Accessories,North,6,2023-11-10,19,4611.25
Puma Resistance Band Set,Puma,Equipment,Central,100,2025-07-08,11,6218.19
UA Rival Fleece Hoodie,Under Armour,Apparel,West,63,2023-11-06,10,2322.6
Reebok Nano X,Reebok,Footwear,Central,82,2024-07-16,10,3030.5
Nike Dri-FIT Tee,Nike,Apparel,West,62,2025-08-03,10,2560.92
UA Duffel Bag,Under Armour,Equipment,North,20,2023-06-07,19,3886.48
Adidas Headband,Adidas,Accessories,West,79,2023-03-26,16,2789.33
UA Charged Assert,Under Armour,Footwear,South,22,2025-10-23,11,996.44
Nike Dunk,Nike,Footwear,Central,86,2023-06-22,15,2083.75
Adidas Tiro Pants,Adidas,Apparel,Central,97,2025-06-18,10,2530.72
Nike Dri-FIT Tee,Nike,Apparel,West,71,2025-03-04,11,5703.25
Reebok Joggers,Reebok,Apparel,East,44,2023-05-15,20,3127.81
Adidas Superstar,Adidas,Footwear,East,43,2023-11-04,10,4600.38
Nike Cap,Nike,Accessories,South,40,2025-03-13,13,2849.33
Nike Cap,Nike,Accessories,South,37,2024-11-03,14,5314.48
Reebok CrossFit Tee,Reebok,Apparel,East,41,2025-11-07,7,1531.13
Adidas Gym Ball,Adidas,Equipment,West,67,2024-11-30,5,2874.94
UA Duffel Bag,Under Armour,Equipment,East,44,2023-06-08,17,6630.34
Adidas Ultraboost,Adidas,Footwear,East,60,2023-03-19,5,1533.39
Adidas Tiro Pants,Adidas,Apparel,South,40,2023-11-29,2,732.34
UA Charged Assert,Under Armour,Footwear,East,48,2025-04-21,15,6105.17
Puma Beanie,Puma,Accessories,Central,88,2024-04-24,16,8896.15
UA Charged Assert,Under Armour,Footwear,East,59,2024-02-02,10,2778.47
Reebok Yoga Mat,Reebok,Equipment,Central,97,2025-02-21,7,4402.66
UA Rival Fleece Hoodie,Under Armour,Apparel,East,42,2023-10-11,18,7912.37
Puma Logo Tee,Puma,Apparel,Central,84,2023-07-30,6,361.56
Adidas Superstar,Adidas,Footwear,West,77,2024-07-12,3,1445.21
Nike Pegasus,Nike,Footwear,West,72,2024-03-30,13,3276.3
Reebok Joggers,Reebok,Apparel,East,48,2025-10-25,12,7759.01
Nike Socks Pack,Nike,Accessories,North,11,2024-04-04,11,5348.48
Puma Logo Tee,Puma,Apparel,South,22,2023-10-27,16,7365.6
Nike Air Max,Nike,Footwear,West,75,2023-10-12,1,454.81
UA HOVR Phantom,Under Armour,Footwear,South,25,2024-06-08,10,843.75
Nike Dri-FIT Tee,Nike,Apparel,East,44,2024-05-01,20,3092.37
UA Sport Mask,Under Armour,Accessories,North,4,2025-07-25,1,398.37
Adidas Superstar,Adidas,Footwear,Central,88,2025-11-21,1,207.75
Reebok Yoga Mat,Reebok,Equipment,South,39,2024-12-23,3,379.19
UA Duffel Bag,Under Armour,Equipment,East,43,2025-12-08,17,8784.26
Nike Dunk,Nike,Footwear,West,76,2023-02-11,12,3901.46
Nike Pro Shorts,Nike,Apparel,North,12,2024-06-03,4,853.32
Reebok Nano X,Reebok,Footwear,South,22,2024-11-11,6,1946.4
Adidas Ultraboost,Adidas,Footwear,West,66,2025-08-09,15,980.62
Nike Dunk,Nike,Footwear,East,47,2023-03-17,2,799.46
Reebok Wristband,Reebok,Accessories,East,57,2024-10-08,18,10241.92
Adidas Headband,Adidas,Accessories,East,42,2025-08-27,2,409.07
Reebok CrossFit Tee,Reebok,Apparel,East,44,2024-11-10,13,3434.56
Adidas Essentials Tee,Adidas,Apparel,West,71,2025-06-19,16,5370.09
Nike Cap,Nike,Accessories,Central,89,2025-01-22,3,1439.1
Puma Logo Tee,Puma,Apparel,Central,86,2025-05-31,3,679.31
UA Charged Assert,Under Armour,Footwear,East,50,2024-11-02,14,4979.06
UA Charged Assert,Under Armour,Footwear,West,72,2023-12-08,12,483.97
Nike Pro Shorts,Nike,Apparel,East,42,2025-06-09,13,5782.64
Nike Pegasus,Nike,Footwear,Central,86,2025-01-14,20,2301.89
Nike Pro Shorts,Nike,Apparel,North,5,2025-06-16,12,2079.13
Nike Dunk,Nike,Footwear,West,79,2025-01-11,15,6053.69
Nike Pro Shorts,Nike,Apparel,East,55,2025-01-29,17,6530.16
Puma Track Jacket,Puma,Apparel,West,71,2025-01-21,4,727.03
Reebok Joggers,Reebok,Apparel,South,36,2023-02-23,4,1834.0
Adidas Water Bottle,Adidas,Accessories,East,55,2024-06-20,10,5729.94
Adidas Ultraboost,Adidas,Footwear,South,24,2025-10-02,15,8372.45
Puma Resistance Band Set,Puma,Equipment,West,63,2023-12-20,3,1021.69
Adidas Essentials Tee,Adidas,Apparel,East,46,2024-08-17,17,7839.05
Adidas Ultraboost,Adidas,Footwear,North,7,2024-04-04,16,2458.85
Reebok CrossFit Tee,Reebok,Apparel,East,58,2023-02-23,18,4398.39
Nike Pro Shorts,Nike,Apparel,Central,83,2023-09-23,16,2695.35
Nike Pro Shorts,Nike,Apparel,West,74,2025-12-12,11,1146.24
Reebok Nano X,Reebok,Footwear,West,75,2023-06-01,18,1468.81
UA Duffel Bag,Under Armour,Equipment,South,34,2024-01-08,2,1051.43
Puma Beanie,Puma,Accessories,Central,85,2023-09-12,11,1089.39
Puma Logo Tee,Puma,Apparel,East,57,2024-04-06,9,4409.6
Adidas Ultraboost,Adidas,Footwear,Central,89,2024-02-07,20,7360.25
Adidas Tiro Pants,Adidas,Apparel,North,17,2025-12-28,19,7510.48
Reebok Classic Leather,Reebok,Footwear,South,40,2023-11-12,19,8063.87
Nike Dunk,Nike,Footwear,North,3,2023-03-26,19,9030.75
Reebok Yoga Mat,Reebok,Equipment,South,39,2024-06-26,1,364.2
Puma Beanie,Puma,Accessories,Central,90,2025-10-16,13,4255.65
Nike Dri-FIT Tee,Nike,Apparel,West,63,2024-09-01,14,1543.65
Reebok Classic Leather,Reebok,Footwear,West,67,2025-09-18,11,4450.12
Adidas Ultraboost,Adidas,Footwear,East,53,2024-10-15,17,7529.08
UA HeatGear Tee,Under Armour,Apparel,East,48,2023-08-06,15,1182.16
Nike Dri-FIT Tee,Nike,Apparel,South,24,2024-05-22,13,2381.56
Puma Resistance Band Set,Puma,Equipment,South,26,2025-05-06,11,6695.27
UA Duffel Bag,Under Armour,Equipment,South,36,2024-01-24,10,2806.82
Reebok Wristband,Reebok,Accessories,North,3,2025-10-15,8,2731.18
Nike Dri-FIT Tee,Nike,Apparel,Central,92,2024-03-16,16,814.37
Nike Air Max,Nike,Footwear,East,58,2025-08-21,14,7764.9
Reebok Wristband,Reebok,Accessories,East,52,2023-10-02,13,2543.45
Adidas Headband,Adidas,Accessories,Central,98,2023-04-15,10,1940.11
UA Charged Assert,Under Armour,Footwear,West,77,2023-05-31,9,3482.23
Reebok Wristband,Reebok,Accessories,South,24,2023-09-01,11,2190.49
UA Duffel Bag,Under Armour,Equipment,South,27,2025-01-18,2,552.93
Reebok Classic Leather,Reebok,Footwear,North,5,2023-04-03,17,6900.36
UA Duffel Bag,Under Armour,Equipment,South,40,2025-07-24,20,2264.47
Puma Beanie,Puma,Accessories,South,33,2024-10-14,17,5962.51
Puma Beanie,Puma,Accessories,Central,96,2025-11-09,1,322.33
Reebok Yoga Mat,Reebok,Equipment,East,44,2025-01-24,1,390.23
Adidas Gym Ball,Adidas,Equipment,East,59,2025-08-29,19,9046.92
Reebok Joggers,Reebok,Apparel,South,37,2025-09-10,8,945.7
Adidas Headband,Adidas,Accessories,Central,84,2023-03-06,11,319.99
Adidas Water Bottle,Adidas,Accessories,South,34,2025-05-07,20,5641.51
Adidas Water Bottle,Adidas,Accessories,North,5,2025-08-23,16,6015.89
Adidas Essentials Tee,Adidas,Apparel,West,71,2025-12-12,18,5630.94
Puma Suede Classic,Puma,Footwear,Central,92,2024-12-02,7,2518.34
Puma Beanie,Puma,Accessories,East,58,2024-05-19,10,1471.27
Puma Resistance Band Set,Puma,Equipment,South,36,2024-08-14,18,5181.33
Reebok Joggers,Reebok,Apparel,East,44,2024-07-14,13,6726.98
Nike Dunk,Nike,Footwear,South,30,2024-12-07,3,545.32
UA Rival Fleece Hoodie,Under Armour,Apparel,West,69,2024-12-10,18,2540.17
Adidas Ultraboost,Adidas,Footwear,Central,89,2024-07-09,19,1582.57
Adidas Gym Ball,Adidas,Equipment,South,22,2024-05-05,2,750.29
UA Rival Fleece Hoodie,Under Armour,Apparel,West,71,2023-07-25,5,341.31
Reebok Yoga Mat,Reebok,Equipment,Central,86,2023-01-11,16,5334.22
Puma Resistance Band Set,Puma,Equipment,South,30,2025-09-04,2,408.2
Nike Dunk,Nike,Footwear,Central,88,2023-07-03,6,2750.1
Reebok Wristband,Reebok,Accessories,South,22,2025-05-05,6,3106.12
Puma Beanie,Puma,Accessories,North,1,2024-08-15,4,1346.06
UA Sport Mask,Under Armour,Accessories,East,55,2024-11-17,5,2569.36
Adidas Headband,Adidas,Accessories,West,69,2025-10-29,11,5837.7
Adidas Essentials Tee,Adidas,Apparel,West,69,2023-11-29,11,294.36
Adidas Essentials Tee,Adidas,Apparel,Central,87,2024-08-27,13,4683.21
Nike Cap,Nike,Accessories,Central,91,2025-05-25,4,1104.48
Puma Resistance Band Set,Puma,Equipment,South,36,2024-01-14,1,539.58
UA Charged Assert,Under Armour,Footwear,West,68,2024-06-18,11,4829.81
Nike Air Max,Nike,Footwear,Central,99,2024-09-10,12,2008.53
UA HeatGear Tee,Under Armour,Apparel,North,4,2024-04-28,13,2500.64
Puma Logo Tee,Puma,Apparel,East,44,2025-10-26,8,2042.78
Adidas Superstar,Adidas,Footwear,South,36,2024-03-24,20,5482.96
UA Rival Fleece Hoodie,Under Armour,Apparel,West,78,2025-02-04,7,3490.11
UA Charged Assert,Under Armour,Footwear,Central,83,2024-05-21,12,3774.62
Nike Dri-FIT Tee,Nike,Apparel,Central,84,2023-06-09,17,7102.8
Adidas Superstar,Adidas,Footwear,Central,98,2024-02-19,17,1935.02
UA Sport Mask,Under Armour,Accessories,North,7,2025-06-23,17,1406.71
Adidas Ultraboost,Adidas,Footwear,North,15,2025-07-01,15,5194.0
Puma Beanie,Puma,Accessories,Central,95,2023-04-29,13,4773.27
